game_type,week,away_team,home_team,away_rest,home_rest,location,result
REG,1,BAL,LV,7,7,Home,
REG,1,CIN,DEN,7,7,Home,
REG,1,CLE,LAC,7,7,Home,
REG,1,PIT,KC,7,7,Home,
REG,1,NE,HOU,7,7,Home,
REG,1,IND,MIA,7,7,Home,
REG,1,JAX,NYJ,7,7,Home,
REG,1,BUF,TEN,7,7,Home,
REG,1,NYG,TB,7,7,Home,
REG,1,MIN,ARI,7,7,Home,
REG,1,ATL,PHI,7,7,Home,
REG,1,CAR,DAL,7,7,Home,
REG,1,NO,WAS,7,7,Home,
REG,1,CHI,LA,7,7,Home,
REG,1,SEA,GB,7,7,Home,
REG,1,SF,DET,7,7,Home,
REG,2,MIA,TEN,7,7,Home,
REG,2,NYJ,HOU,7,7,Home,
REG,2,KC,BAL,7,7,Home,
REG,2,LAC,CIN,7,7,Home,
REG,2,IND,BUF,7,7,Home,
REG,2,JAX,NE,7,7,Home,
REG,2,DEN,CLE,7,7,Home,
REG,2,LV,PIT,7,7,Home,
REG,2,DAL,ATL,7,7,Home,
REG,2,NYG,NO,7,7,Home,
REG,2,PHI,CAR,7,7,Home,
REG,2,CHI,SEA,7,7,Home,
REG,2,MIN,SF,7,7,Home,
REG,2,TB,WAS,7,7,Home,
REG,2,ARI,DET,7,7,Home,
REG,2,LA,GB,7,7,Home,
REG,3,BAL,DEN,7,7,Home,
REG,3,CLE,KC,7,7,Home,
REG,3,HOU,BUF,7,7,Home,
REG,3,NYJ,IND,7,7,Home,
REG,3,MIA,JAX,7,7,Home,
REG,3,TEN,NE,7,7,Home,
REG,3,PIT,LAC,7,7,Home,
REG,3,CIN,LV,7,7,Home,
REG,3,WAS,CAR,7,7,Home,
REG,3,DET,LA,7,7,Home,
REG,3,GB,ARI,7,7,Home,
REG,3,ATL,NYG,7,7,Home,
REG,3,NO,DAL,7,7,Home,
REG,3,TB,PHI,7,7,Home,
REG,3,SEA,MIN,7,7,Home,
REG,3,SF,CHI,7,7,Home,
REG,4,BUF,JAX,7,7,Home,
REG,4,NE,IND,7,7,Home,
REG,4,LV,CLE,7,7,Home,
REG,4,DEN,PIT,7,7,Home,
REG,4,HOU,MIA,7,7,Home,
REG,4,TEN,NYJ,7,7,Home,
REG,4,KC,CIN,7,7,Home,
REG,4,LAC,BAL,7,7,Home,
REG,4,DAL,TB,7,7,Home,
REG,4,PHI,NO,7,7,Home,
REG,4,WAS,ATL,7,7,Home,
REG,4,DET,SEA,7,7,Home,
REG,4,CAR,NYG,7,7,Home,
REG,4,ARI,CHI,7,7,Home,
REG,4,LA,MIN,7,7,Home,
REG,4,GB,SF,7,7,Home,
REG,5,BUF,NO,7,7,Home,
REG,5,MIA,TB,7,7,Home,
REG,5,NE,CAR,7,7,Home,
REG,5,NYJ,ATL,7,7,Home,
REG,5,BAL,CHI,7,7,Home,
REG,5,CIN,DET,7,7,Home,
REG,5,CLE,MIN,7,7,Home,
REG,5,PIT,GB,7,7,Home,
REG,5,HOU,ARI,7,7,Home,
REG,5,TEN,SEA,7,7,Home,
REG,5,KC,WAS,7,7,Home,
REG,5,LV,NYG,7,7,Home,
REG,5,DAL,LAC,7,7,Home,
REG,5,PHI,DEN,7,7,Home,
REG,5,LA,IND,7,7,Home,
REG,5,SF,JAX,7,7,Home,
REG,6,BUF,TB,7,7,Home,
REG,6,MIA,NO,7,7,Home,
REG,6,NE,ATL,7,7,Home,
REG,6,NYJ,CAR,7,7,Home,
REG,6,HOU,SF,7,7,Home,
REG,6,TEN,LA,7,7,Home,
REG,6,DEN,DAL,7,7,Home,
REG,6,LAC,PHI,7,7,Home,
REG,6,NYG,KC,7,7,Home,
REG,6,WAS,LV,7,7,Home,
REG,6,CHI,PIT,7,7,Home,
REG,6,DET,CLE,7,7,Home,
REG,6,GB,BAL,7,7,Home,
REG,6,MIN,CIN,7,7,Home,
REG,6,ARI,JAX,7,7,Home,
