season,team,nfl,nfl_team_id,espn,pfr,pff,pfflabel,fo,full,location,short_location,nickname,hyphenated,sbr,sbr_wins,sbr_name,draft_kings
2003,DAL,DAL,1200,DAL,DAL,,,DAL,Dallas Cowboys,Dallas,Dallas,Cowboys,dallas-cowboys,1538,,,
2003,DEN,DEN,1400,DEN,DEN,,,DEN,Denver Broncos,Denver,Denver,Broncos,denver-broncos,1534,,,
2003,DET,DET,1540,DET,DET,,,DET,Detroit Lions,Detroit,Detroit,Lions,detroit-lions,1539,,,
2003,GB,GB,1800,GB,GNB,,,GB,Green Bay Packers,Green Bay,Green Bay,Packers,green-bay-packers,1542,,,
2003,HOU,HOU,2120,HOU,HTX,,,HOU,Houston Texans,Houston,Houston,Texans,houston-texans,1530,,,
2003,IND,IND,2200,IND,CLT,,,IND,Indianapolis Colts,Indianapolis,Indianapolis,Colts,indianapolis-colts,1527,,,
2003,JAX,JAC,2250,JAX,JAX,,,JAC,Jacksonville Jaguars,Jacksonville,Jacksonville,Jaguars,jacksonville-jaguars,1529,,,
2003,KC,KC,2310,KC,KAN,,,KC,Kansas City Chiefs,Kansas City,Kansas City,Chiefs,kansas-city-chiefs,1531,,,
2003,MIA,MIA,2700,MIA,MIA,,,MIA,Miami Dolphins,Miami,Miami,Dolphins,miami-dolphins,1524,,,
2003,MIN,MIN,3000,MIN,MIN,,,MIN,Minnesota Vikings,Minnesota,Minnesota,Vikings,minnesota-vikings,1541,,,
2003,NE,NE,3200,NE,NWE,,,NE,New England Patriots,New England,New England,Patriots,new-england-patriots,1525,,,
2003,NO,NO,3300,NO,NOR,,,NO,New Orleans Saints,New Orleans,New Orleans,Saints,new-orleans-saints,1543,,,
2003,NYG,NYG,3410,NYG,NYG,,,NYG,New York Giants,New York Giants,NY Giants,Giants,new-york-giants,1535,,,
2003,NYJ,NYJ,3430,NYJ,NYJ,,,NYJ,New York Jets,New York Jets,NY Jets,Jets,new-york-jets,1523,,,
2003,OAK,OAK,2520,OAK,RAI,,,OAK,Oakland Raiders,Oakland,Oakland,Raiders,oakland-raiders,1533,,,
2003,PHI,PHI,3700,PHI,PHI,,,PHI,Philadelphia Eagles,Philadelphia,Philadelphia,Eagles,philadelphia-eagles,1536,,,
2003,PIT,PIT,3900,PIT,PIT,,,PIT,Pittsburgh Steelers,Pittsburgh,Pittsburgh,Steelers,pittsburgh-steelers,1519,,,
2003,SD,SD,4400,SD,SDG,,,SD,San Diego Chargers,San Diego,San Diego,Chargers,san-diego-chargers,1532,,,
2003,SEA,SEA,4600,SEA,SEA,,,SEA,Seattle Seahawks,Seattle,Seattle,Seahawks,seattle-seahawks,1548,,,
2003,SF,SF,4500,SF,SFO,,,SF,San Francisco 49ers,San Francisco,San Francisco,49ers,san-francisco-49ers,1547,,,
2003,STL,STL,2510,STL,RAM,,,STL,St Louis Rams,St Louis,St Louis,Rams,st-louis-rams,1550,,,
2003,TB,TB,4900,TB,TAM,,,TB,Tampa Bay Buccaneers,Tampa Bay,Tampa Bay,Buccaneers,tampa-bay-buccaneers,1544,,,
2003,TEN,TEN,2100,TEN,OTI,,,TEN,Tennessee Titans,Tennessee,Tennessee,Titans,tennessee-titans,1528,,,
2003,WAS,WAS,5110,WSH,WAS,,,WAS,Washington Redskins,Washington,Washington,Redskins,washington-redskins,1537,,,
2004,ARI,ARI,3800,ARI,CRD,,,ARI,Arizona Cardinals,Arizona,Arizona,Cardinals,arizona-cardinals,1549,,,
2004,ATL,ATL,0200,ATL,ATL,,,ATL,Atlanta Falcons,Atlanta,Atlanta,Falcons,atlanta-falcons,1546,,,
2004,BAL,BAL,0325,BAL,RAV,,,BAL,Baltimore Ravens,Baltimore,Baltimore,Ravens,baltimore-ravens,1521,,,
2004,BUF,BUF,0610,BUF,BUF,,,BUF,Buffalo Bills,Buffalo,Buffalo,Bills,buffalo-bills,1526,,,
2004,CAR,CAR,0750,CAR,CAR,,,CAR,Carolina Panthers,Carolina,Carolina,Panthers,carolina-panthers,1545,,,
2004,CHI,CHI,0810,CHI,CHI,,,CHI,Chicago Bears,Chicago,Chicago,Bears,chicago-bears,1540,,,
2004,CIN,CIN,0920,CIN,CIN,,,CIN,Cincinnati Bengals,Cincinnati,Cincinnati,Bengals,cincinnati-bengals,1522,,,
2004,CLE,CLE,1050,CLE,CLE,,,CLE,Cleveland Browns,Cleveland,Cleveland,Browns,cleveland-browns,1520,,,
2004,DAL,DAL,1200,DAL,DAL,,,DAL,Dallas Cowboys,Dallas,Dallas,Cowboys,dallas-cowboys,1538,,,
2004,DEN,DEN,1400,DEN,DEN,,,DEN,Denver Broncos,Denver,Denver,Broncos,denver-broncos,1534,,,
2004,DET,DET,1540,DET,DET,,,DET,Detroit Lions,Detroit,Detroit,Lions,detroit-lions,1539,,,
2004,GB,GB,1800,GB,GNB,,,GB,Green Bay Packers,Green Bay,Green Bay,Packers,green-bay-packers,1542,,,
2004,HOU,HOU,2120,HOU,HTX,,,HOU,Houston Texans,Houston,Houston,Texans,houston-texans,1530,,,
2004,IND,IND,2200,IND,CLT,,,IND,Indianapolis Colts,Indianapolis,Indianapolis,Colts,indianapolis-colts,1527,,,
2004,JAX,JAC,2250,JAX,JAX,,,JAC,Jacksonville Jaguars,Jacksonville,Jacksonville,Jaguars,jacksonville-jaguars,1529,,,
2004,KC,KC,2310,KC,KAN,,,KC,Kansas City Chiefs,Kansas City,Kansas City,Chiefs,kansas-city-chiefs,1531,,,
2004,MIA,MIA,2700,MIA,MIA,,,MIA,Miami Dolphins,Miami,Miami,Dolphins,miami-dolphins,1524,,,
2004,MIN,MIN,3000,MIN,MIN,,,MIN,Minnesota Vikings,Minnesota,Minnesota,Vikings,minnesota-vikings,1541,,,
